rating,title,text,date
5,,good,2026-07-06
4,,"This app is nice investing in stocks, bonds mutual funds and other investment avenues. The facilities are convenient and user friendly.",2026-07-06
5,,nice,2026-07-06
5,,ok,2026-07-06
5,,My first investing app. it's a great platform.,2026-07-06
3,,I didn't got half of my money back I sold 170 worth stock and only got 140rs back where is the others,2026-07-06
5,,osm,2026-07-06
4,,user friendly,2026-07-06
5,,bhut achha ap hai sab ko achhe se chalana hai,2026-07-06
5,,thanks for you,2026-07-06
4,,Good,2026-07-06
5,,good,2026-07-06
5,,happy,2026-07-06
5,,Super,2026-07-06
5,,good,2026-07-06
5,,good,2026-07-06
5,,great app easy to use and understand,2026-07-06
5,,good,2026-07-06
5,,good to use,2026-07-06
5,,some features are best of best,2026-07-06
5,,good,2026-07-06
5,,Bahut acha,2026-07-06
5,,good 👍😊,2026-07-06
5,,thank you groww app,2026-07-06
5,,mujhe yeah acha laga kyuki esmain instant order or instant withdrawal milta hai jo bhut hi batter fill karwata hai or sath hi 915 by groww ka essay bhi acah hai,2026-07-06
5,,okay,2026-07-06
4,,hey team groww...I'm looking forward to see SLBM-stock lending and borrowing mechanism facility being implemented for users loke me ASAP.,2026-07-06
1,,This app have high charges and when you try to talk to agent you will get no response . sometimes it hangs while placing order.,2026-07-06
5,,very good very super,2026-07-06
5,,awesome,2026-07-06
5,,GREAT,2026-07-06
5,,very good,2026-07-06
5,,nice,2026-07-06
5,,good,2026-07-06
5,,verry good,2026-07-06
5,,very good,2026-07-06
5,,very good,2026-07-06
5,,👍🏻,2026-07-06
5,,good,2026-07-06
5,,gud,2026-07-06
4,,nice,2026-07-06
5,,excellent 👍,2026-07-06
4,,Nice experience,2026-07-06
5,,verry good 👍,2026-07-06
4,,nice 👍 AAP,2026-07-06
5,,nice,2026-07-06
1,,good,2026-07-06
5,,good app,2026-07-06
5,,very user friendly & gives all informative technical data to analyze investments,2026-07-06
5,,good,2026-07-06
5,,nice,2026-07-06
2,,I am using groww from 2021 onwards but this month my SIP is not deducted and your coustomer service is very poor,2026-07-06
5,,super,2026-07-06
4,,good,2026-07-06
5,,By investing for the future,2026-07-06
5,,best app,2026-07-06
4,,next update can u provide ai indicators,2026-07-06
5,,"Everything is fine, it is a great app, I am earning very well but there is a small problem and that is, there is a little delay in withdrawal, so please fix it as soon as possible, thank you Groww team ☺️❤️💗",2026-07-06
5,,nice,2026-07-06
5,,groww helping for learn stock market,2026-07-06
5,,The super trading app has many opportunities in investment stock market,2026-07-06
5,,Good 👍,2026-07-06
5,,good,2026-07-06
5,,Very Best,2026-07-06
5,,good,2026-07-06
5,,super,2026-07-06
5,,good 👍 app 😀💯,2026-07-06
5,,👍 nice,2026-07-06
4,,good app,2026-07-06
5,,excellent,2026-07-06
5,,Best Plateform,2026-07-06
5,,best,2026-07-06
5,,good,2026-07-06
5,,Excellent job,2026-07-06
5,,good 😊,2026-07-06
5,,good,2026-07-06
5,,great 👍🏻,2026-07-06
4,,it laga and is a bit slow,2026-07-06
5,,top aap,2026-07-06
5,,good,2026-07-06
5,,good,2026-07-06
5,,best platform,2026-07-06
5,,to good,2026-07-06
5,,excellent service,2026-07-06
5,,excellent,2026-07-06
5,,nice,2026-07-06
1,,bet app acha kam nehi karte,2026-07-06
4,,"If I order shares at once, It is taken into three trades and each trade has different charges. These is not Good",2026-07-06
5,,User friendly,2026-07-06
5,,ok,2026-07-06
5,,good,2026-07-06
1,,lots of glitches in share prices worst app i consider currently from past 1 month i am unable to load the trading chart lol probably worst app 😡,2026-07-06
5,,good,2026-07-06
4,,good 👍,2026-07-06
5,,good 👍,2026-07-06
5,,Nice 👍,2026-07-06
5,,nice app,2026-07-06
5,,GOOD,2026-07-06
5,,great,2026-07-06
4,,good,2026-07-06
5,,OK,2026-07-06
5,,Super,2026-07-06
